,recipient_x,recipient_y
0,bc1q9yydw59g6v0c7evnjgw5aale7k5y77uugyff8r,3L7Tg62hhqc6CJuZDUutNfeHegutdVBeEh
1,bc1q9yydw59g6v0c7evnjgw5aale7k5y77uugyff8r,385Ar9xDszPDb62yxT6f9piq8aD1vBdjmM
2,bc1q9yydw59g6v0c7evnjgw5aale7k5y77uugyff8r,385Ar9xDszPDb62yxT6f9piq8aD1vBdjmM
3,bc1q9yydw59g6v0c7evnjgw5aale7k5y77uugyff8r,322nSSzjGRbif5Zbz5XvU5b3z8BEjkHzhc
4,bc1q9yydw59g6v0c7evnjgw5aale7k5y77uugyff8r,1p781tsBpVpzKuD61jgmyZXNWApjZPxcx
5,bc1q9yydw59g6v0c7evnjgw5aale7k5y77uugyff8r,32p18YfpEd47Bu1gNePVitFJyHpzNDWrWq
6,bc1q9yydw59g6v0c7evnjgw5aale7k5y77uugyff8r,1CS4tYMUgBRWHnx4ThZoRT1o6cRy61jP39
7,bc1q9yydw59g6v0c7evnjgw5aale7k5y77uugyff8r,bc1q9yydw59g6v0c7evnjgw5aale7k5y77uugyff8r
8,bc1qpnk0shp4jetalmamxcy6vvmrvhhamswmhprlcx,1FNXcugV3AUhhEPgqV39KL816WYujQid2m
9,bc1qpnk0shp4jetalmamxcy6vvmrvhhamswmhprlcx,3C8XbKFu2obnnuhzPs8pKXVoL331a6ahbk
10,bc1qpnk0shp4jetalmamxcy6vvmrvhhamswmhprlcx,bc1qpnk0shp4jetalmamxcy6vvmrvhhamswmhprlcx
11,bc1qpnk0shp4jetalmamxcy6vvmrvhhamswmhprlcx,1JpasUABCWrZqYPQvmnpAtQFN4V4HDnckS
12,bc1qngh6x2r72mp4nh88l083au728z7me0plytwfj7,32XRY2v3Q3NzaUgtswivFkwR5h1UL8xbxC
13,bc1qngh6x2r72mp4nh88l083au728z7me0plytwfj7,bc1qngh6x2r72mp4nh88l083au728z7me0plytwfj7
14,bc1qngh6x2r72mp4nh88l083au728z7me0plytwfj7,1CQzKfqJQTiszSUhDsFCxo642g26CzACAc
15,bc1qngh6x2r72mp4nh88l083au728z7me0plytwfj7,3GqnA3DjvCqrN8rQC2iQwQorAsmBNR6ghK
16,bc1qngh6x2r72mp4nh88l083au728z7me0plytwfj7,3BYyHkYrqrJ4gRnjfRv3wtmsdKBv7d42bS
17,1G769bwQYgmwtSb85FJ76HMRcBoCtyiu2G,1PSCXJkbfSvTESPMNsT1SoTQ39xvPhTdPs
18,1G769bwQYgmwtSb85FJ76HMRcBoCtyiu2G,1G769bwQYgmwtSb85FJ76HMRcBoCtyiu2G
19,1EFyxh2K6G8BpqBKnzXHtpcW4fobXhVEq,3J9A1antSFskh3NEuND8EoxBLez8CYQZqW
20,1EFyxh2K6G8BpqBKnzXHtpcW4fobXhVEq,1EFyxh2K6G8BpqBKnzXHtpcW4fobXhVEq
21,1YpJTrooX8y7BhxJZPvgGYojGxauKTBBS,1B8iDxx5PgYCzdf37z1qdnzers1utNhijh
22,1YpJTrooX8y7BhxJZPvgGYojGxauKTBBS,1YpJTrooX8y7BhxJZPvgGYojGxauKTBBS
23,15ZXF753J7ntUPkz9mHET7ZJfEgcExxN7v,3FbVTnjW9Bf5c3YaXPCKhPdTQiPfMrSB4r
