Person,Relevance,Gender,Birth Year,Year of Death
person1,relevance14,male,1663,1731
person2,relevance32,male,1621,1694
person3,relevance53,male,1674,1751
person4,relevance7,female,1656,1659
person5,relevance47,male,1626,1697
person6,relevance14,male,1630,1713
person7,relevance59,male,1630,1691
person8,relevance31,male,1621,1688
person9,relevance7,male,1630,1664
person10,relevance55,male,1649,1723
person11,relevance46,male,1663,1752
person12,relevance51,male,1687,1750
person13,relevance26,male,1654,1725
person14,relevance7,female,1637,1704
person15,relevance14,male,1551,1661
person16,relevance38,male,1624,1691
person17,relevance19,male,1618,1675
person18,relevance7,female,1627,1705
person19,relevance7,male,1605,1657
person20,relevance59,male,1640,1708
person21,relevance48,female,1618,1692
person22,relevance19,female,1683,1761
person23,relevance31,male,1631,1704
person24,relevance42,male,1633,1720
person25,relevance66,male,1569,1679
person26,relevance30,male,1628,1692
person27,relevance5,male,1634,1687
person28,relevance48,male,1626,1666
person29,relevance37,male,1665,1745
person30,relevance20,male,1620,1679
person31,relevance36,male,1627,1713
person32,relevance43,male,1673,1738
person33,relevance61,male,1616,1699
person34,relevance31,male,1626,1705
person35,relevance10,male,1635,1681
person36,relevance29,male,1683,1757
person37,relevance59,male,1618,1660
person38,relevance7,female,1562,1672
person39,relevance61,male,1637,1724
person40,relevance8,male,1630,1696
person41,relevance61,male,1628,1711
person42,relevance9,male,1636,1714
person43,relevance62,male,1691,1765
person44,relevance52,male,1607,1679
person45,relevance60,male,1656,1722
person46,relevance28,male,1614,1686
person47,relevance65,male,1630,1691
person48,relevance59,male,1630,1666
person49,relevance39,male,1601,1678
person50,relevance22,male,1617,1682
person51,relevance14,male,1590,1700
person52,relevance18,male,1648,1690
person53,relevance1,female,1631,1711
person54,relevance15,male,1666,1749
person55,relevance2,male,1624,1701
person56,relevance66,female,1614,1702
person57,relevance49,male,1558,1668
person58,relevance48,female,1555,1665
person59,relevance25,male,1602,1712
person60,relevance48,female,1619,1679
person61,relevance64,male,1628,1689
person62,relevance25,male,1652,1683
person63,relevance59,male,1616,1660
person64,relevance16,male,1610,1686
person65,relevance41,male,1682,1769
person66,relevance50,male,1666,1743
person67,relevance63,male,1638,1716
person68,relevance45,male,1636,1656
person69,relevance3,male,1694,1768
person70,relevance56,male,1614,1698
person71,relevance7,male,1636,1665
person72,relevance31,male,1618,1669
person73,relevance31,male,1628,1662
person74,relevance7,male,1552,1662
person75,relevance25,male,1601,1711
person76,relevance58,male,1671,1735
person77,relevance66,male,1643,1707
person78,relevance48,female,1623,1698
person79,relevance33,female,1631,1679
person80,relevance59,male,1604,1665
person81,relevance40,male,1640,1727
person82,relevance4,female,1634,1659
person83,relevance14,male,1650,1696
person84,relevance17,male,1655,1660
person85,relevance66,male,1628,1684
person86,relevance27,male,1693,1767
person87,relevance27,male,1672,1740
person88,relevance19,female,1676,1762
person89,relevance7,female,1569,1679
person90,relevance57,male,1699,1777
person91,relevance41,male,1658,1709
person92,relevance66,male,1625,1697
person93,relevance48,male,1585,1695
person94,relevance10,male,1627,1666
person95,relevance21,male,1617,1682
person96,relevance19,male,1631,1690
person97,relevance30,male,1633,1663
person98,relevance59,female,1609,1688
person99,relevance66,male,1627,1712
person100,relevance48,female,1608,1664
person101,relevance34,male,1560,1670
person102,relevance11,male,1648,1724
person103,relevance54,male,1655,1710
person104,relevance12,female,1623,1682
person105,relevance23,male,1637,1698
person106,relevance14,male,1633,1707
person107,relevance44,male,1644,1718
person108,relevance1,female,1630,1701
person109,relevance7,female,1636,1666
person110,relevance35,male,1656,1731
person111,relevance13,male,1671,1746
person112,relevance24,female,1624,1665
person113,relevance25,male,1571,1681
person114,relevance6,male,1670,1742
person115,relevance43,male,1639,1713
person116,relevance7,male,1627,1671
person117,relevance22,male,1677,1753
person118,relevance25,male,1555,1665
person119,relevance48,female,1656,1671
