date,country,brand_name,channel,profile_name,campaign_name,ad_set_name,ad_name,headline,cost,impressions,clicks,ctr,ave_cpc,link_clicks,outbound_clicks,view_content_actions,add_cart_actions,add_cart_value,purchase_actions,purchase_value,buy_now,shop_now,limited_offer,add_cart,use_code,free_shipping,today_only,free_delivery,extra_discount,voucher_code,last_chance,up_to,%_off
2019-11-24,PH,Enfa,Lazada,PH - Enfa - Facebook,MEAD-ECOMMERCE-2019-13 - Enfa Always On Q4,AO Q4 - Prospecting,AO Q4 - Enfa - Milk Guarantee,Buy Enfagrow A+ Four at Lazada Now!,24.18000030517578,41794,405,0.96903902,0.059703999999999986,223,43,0,0,0.0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-25,PH,Enfa,Lazada,PH - Enfa - Facebook,MEAD-ECOMMERCE-2019-13 - Enfa Always On Q4,AO Q4 - Prospecting,AO Q4 - Enfa - Milk Guarantee,Buy Enfagrow A+ Four at Lazada Now!,23.70000076293945,42927,326,0.75942898,0.072699,185,28,0,0,0.0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-26,PH,Enfa,Lazada,PH - Enfa - Facebook,MEAD-ECOMMERCE-2019-13 - Enfa Always On Q4,AO Q4 - Prospecting,AO Q4 - Enfa - Milk Guarantee,Buy Enfagrow A+ Four at Lazada Now!,23.90999984741211,25883,360,1.39087403,0.06641699999999999,192,38,0,0,0.0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-24,PH,Enfa,Lazada,PH - Enfa - Facebook,MEAD-ECOMMERCE-2019-13 - Enfa Always On Q4,AO Q4 - Prospecting CV,AO Q4 - Enfa - Milk Guarantee,Buy Enfagrow A+ Four at Lazada Now!,18.559999465942386,30976,198,0.63920498,0.093737,113,11,0,0,0.0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-25,PH,Enfa,Lazada,PH - Enfa - Facebook,MEAD-ECOMMERCE-2019-13 - Enfa Always On Q4,AO Q4 - Prospecting CV,AO Q4 - Enfa - Milk Guarantee,Buy Enfagrow A+ Four at Lazada Now!,21.25,31711,178,0.56131899,0.119382,108,15,0,0,0.0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-26,PH,Enfa,Lazada,PH - Enfa - Facebook,MEAD-ECOMMERCE-2019-13 - Enfa Always On Q4,AO Q4 - Prospecting CV,AO Q4 - Enfa - Milk Guarantee,Buy Enfagrow A+ Four at Lazada Now!,19.6200008392334,19871,175,0.88068002,0.112114,98,22,0,0,0.0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-24,PH,Enfa,Lazada,PH - Enfa - Facebook,MEAD-ECOMMERCE-2019-13 - Enfa Always On Q4,AO Q4 - Prospecting LA,AO Q4 - Enfa - Milk Guarantee,Buy Enfagrow A+ Four at Lazada Now!,6.510000228881836,12282,95,0.77349001,0.068526,65,11,0,0,0.0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-25,PH,Enfa,Lazada,PH - Enfa - Facebook,MEAD-ECOMMERCE-2019-13 - Enfa Always On Q4,AO Q4 - Prospecting LA,AO Q4 - Enfa - Milk Guarantee,Buy Enfagrow A+ Four at Lazada Now!,5.150000095367432,9076,62,0.68312001,0.083065,37,8,0,0,0.0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-26,PH,Enfa,Lazada,PH - Enfa - Facebook,MEAD-ECOMMERCE-2019-13 - Enfa Always On Q4,AO Q4 - Prospecting LA,AO Q4 - Enfa - Milk Guarantee,Buy Enfagrow A+ Four at Lazada Now!,6.440000057220459,6692,80,1.19545698,0.0805,49,10,0,0,0.0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-24,PH,Enfa,Lazada,PH - Enfa - Facebook,MEAD-ECOMMERCE-2019-13 - Enfa Always On Q4,AO Q4 - Remarketing,AO Q4 - Enfa - Milk Guarantee,Buy Enfagrow A+ Four at Lazada Now!,13.859999656677244,10413,130,1.24843895,0.10661500000000003,71,18,0,0,0.0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-25,PH,Enfa,Lazada,PH - Enfa - Facebook,MEAD-ECOMMERCE-2019-13 - Enfa Always On Q4,AO Q4 - Remarketing,AO Q4 - Enfa - Milk Guarantee,Buy Enfagrow A+ Four at Lazada Now!,18.530000686645508,10857,113,1.04080296,0.163982,72,15,0,0,0.0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-26,PH,Enfa,Lazada,PH - Enfa - Facebook,MEAD-ECOMMERCE-2019-13 - Enfa Always On Q4,AO Q4 - Remarketing,AO Q4 - Enfa - Milk Guarantee,Buy Enfagrow A+ Four at Lazada Now!,25.53000068664551,13640,188,1.378299,0.13579801,115,24,0,0,0.0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-24,PH,Enfa,Lazada,PH - Enfa - Facebook,MEAD-ECOMMERCE-2019-13 - Enfa Always On Q4,AO Q4 - Remarketing BE,AO Q4 - Enfa - Milk Guarantee,Buy Enfagrow A+ Four at Lazada Now!,9.619999885559082,13306,104,0.78160203,0.0925,59,8,0,0,0.0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-25,PH,Enfa,Lazada,PH - Enfa - Facebook,MEAD-ECOMMERCE-2019-13 - Enfa Always On Q4,AO Q4 - Remarketing BE,AO Q4 - Enfa - Milk Guarantee,Buy Enfagrow A+ Four at Lazada Now!,8.880000114440918,11391,81,0.711088,0.10963,50,5,0,0,0.0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0
