,Unnamed: 0,month,date,market_shop,brand,platform,channel,campaign,ad_content,visits,unique_visitors,atc_qty,atc_value_usd,unique_buyers,shop_new_buyers,orders,items_sold,cr,gmv_usd,gmv_php
9791,9791,January,2020-01-01,PH_Lactum Official Store 69038616,Lactum,all,Facebook Collaborative Ads,s69038616_ss_ph_fbca_lactum-12.12,save,54,37,1,31.47,0,0,0,0,0.0,0.0,0.0
9782,9782,January,2020-01-01,PH_Enfagrow A+ Four Official Store 69027083,Enfagrow,all,Facebook Collaborative Ads,s69027083_ss_ph_fbca_enfagrow-christmas,save,28,18,2,27.77,0,0,0,0,0.0,0.0,0.0
9783,9783,January,2020-01-01,PH_Enfagrow A+ Four Official Store 69027083,Enfagrow,all,Facebook Collaborative Ads,s69027083_ss_ph_fbca_enfagrow-sbd-dec,save,112,68,2,72.39,1,1,1,1,0.89,35.5,1803.0
9784,9784,January,2020-01-01,PH_Sustagen Official Store 82245607,Sustagen,all,Facebook Collaborative Ads,s82245607_ss_ph_fbca_sustagen-sbd-dec,save,16,12,0,0.0,0,0,0,0,0.0,0.0,0.0
9790,9790,January,2020-01-01,PH_Sustagen Official Store 82245607,Sustagen,all,Facebook Collaborative Ads,s82245607_ss_ph_fbca_sustagen-12.12,save,2,2,0,0.0,0,0,0,0,0.0,0.0,0.0
9786,9786,January,2020-01-01,PH_Lactum Official Store 69038616,Lactum,all,Facebook Collaborative Ads,s69038616_ss_ph_fbca_lactum-christmas,save,22,13,0,0.0,0,0,0,0,0.0,0.0,0.0
9787,9787,January,2020-01-01,PH_Lactum Official Store 69038616,Lactum,all,Facebook Collaborative Ads,s69038616_ss_ph_fbca_lactum-12.12,b2g1,57,37,0,0.0,0,0,0,0,0.0,0.0,0.0
9789,9789,January,2020-01-01,PH_Lactum Official Store 69038616,Lactum,all,Facebook Collaborative Ads,s69038616_ss_ph_fbca_lactum-sbd-dec,save,133,85,16,230.43,7,3,7,13,9.77,197.45,10027.0
9785,9785,January,2020-01-01,PH_Enfagrow A+ Four Official Store 69027083,Enfagrow,all,Facebook Collaborative Ads,s69027083_ss_ph_fbca_enfagrow-12.12,save,64,54,0,0.0,1,0,1,1,1.56,30.15,1531.0
9770,9770,January,2020-01-02,PH_Sustagen Official Store 82245607,Sustagen,all,Facebook Collaborative Ads,s82245607_ss_ph_fbca_sustagen-12.12,save,16,8,0,0.0,0,0,0,0,0.0,0.0,0.0
9771,9771,January,2020-01-02,PH_Enfagrow A+ Four Official Store 69027083,Enfagrow,all,Facebook Collaborative Ads,s69027083_ss_ph_fbca_enfagrow-sbd-dec,save,135,92,3,104.19,3,0,3,3,2.22,108.03,5486.0
9773,9773,January,2020-01-02,PH_Enfagrow A+ Four Official Store 69027083,Enfagrow,all,Facebook Collaborative Ads,s69027083_ss_ph_fbca_enfagrow-jan,save,229,185,6,213.58,2,1,2,4,1.75,120.71,6130.0
9774,9774,January,2020-01-02,PH_Enfagrow A+ Four Official Store 69027083,Enfagrow,all,Facebook Collaborative Ads,s69027083_ss_ph_fbca_enfagrow-christmas,save,36,21,0,0.0,0,0,0,0,0.0,0.0,0.0
9775,9775,January,2020-01-02,PH_Sustagen Official Store 82245607,Sustagen,all,Facebook Collaborative Ads,s82245607_ss_ph_fbca_sustagen-sbd-dec,save,10,10,0,0.0,0,0,0,0,0.0,0.0,0.0
9777,9777,January,2020-01-02,PH_Enfagrow A+ Four Official Store 69027083,Enfagrow,all,Facebook Collaborative Ads,s69027083_ss_ph_fbca_enfagrow-12.12,save,72,54,0,0.0,0,0,0,0,0.0,0.0,0.0
9778,9778,January,2020-01-02,PH_Lactum Official Store 69038616,Lactum,all,Facebook Collaborative Ads,s69038616_ss_ph_fbca_lactum-christmas,save,26,21,5,104.64,2,0,4,4,15.38,83.14,4222.0
