,date,laz_concur,sp_concur
0,2019-01-01,32,0.0
1,2019-01-02,37,0.0
2,2019-01-03,39,0.0
3,2019-01-04,36,0.0
4,2019-01-05,28,0.0
5,2019-01-06,23,0.0
6,2019-01-07,30,0.0
7,2019-01-08,30,0.0
8,2019-01-09,18,0.0
9,2019-01-10,15,0.0
10,2019-01-11,6,0.0
11,2019-01-12,3,0.0
12,2019-01-13,4,0.0
13,2019-01-14,5,0.0
14,2019-01-15,5,0.0
15,2019-01-16,8,0.0
16,2019-01-17,9,0.0
17,2019-01-18,25,0.0
18,2019-01-19,33,0.0
19,2019-01-20,36,0.0
20,2019-01-21,38,0.0
21,2019-01-22,46,0.0
22,2019-01-23,50,0.0
23,2019-01-24,55,0.0
24,2019-01-25,45,0.0
25,2019-01-26,40,0.0
26,2019-01-27,38,0.0
27,2019-01-28,36,0.0
28,2019-01-29,36,0.0
29,2019-01-30,44,0.0
30,2019-01-31,60,0.0
31,2019-02-01,57,0.0
32,2019-02-02,51,0.0
33,2019-02-03,37,0.0
34,2019-02-04,39,0.0
35,2019-02-05,39,0.0
36,2019-02-06,41,0.0
37,2019-02-07,39,0.0
38,2019-02-08,39,0.0
39,2019-02-09,40,0.0
40,2019-02-10,34,0.0
41,2019-02-11,38,0.0
42,2019-02-12,43,0.0
43,2019-02-13,45,0.0
44,2019-02-14,44,0.0
45,2019-02-15,38,0.0
46,2019-02-16,41,0.0
47,2019-02-17,43,0.0
48,2019-02-18,42,0.0
49,2019-02-19,49,0.0
50,2019-02-20,52,0.0
51,2019-02-21,51,0.0
52,2019-02-22,42,0.0
53,2019-02-23,28,0.0
54,2019-02-24,23,0.0
55,2019-02-25,21,0.0
56,2019-02-26,23,0.0
57,2019-02-27,28,0.0
58,2019-02-28,17,0.0
59,2019-03-01,23,0.0
60,2019-03-02,18,0.0
61,2019-03-03,21,0.0
62,2019-03-04,15,0.0
63,2019-03-05,14,0.0
64,2019-03-06,15,0.0
65,2019-03-07,25,0.0
66,2019-03-08,26,0.0
67,2019-03-09,19,0.0
68,2019-03-10,22,0.0
69,2019-03-11,23,0.0
70,2019-03-12,17,0.0
71,2019-03-13,22,0.0
72,2019-03-14,20,0.0
73,2019-03-15,23,0.0
74,2019-03-16,19,0.0
75,2019-03-17,17,0.0
76,2019-03-18,24,0.0
77,2019-03-19,26,0.0
78,2019-03-20,21,0.0
79,2019-03-21,80,0.0
80,2019-03-22,63,0.0
81,2019-03-23,61,0.0
82,2019-03-24,61,0.0
83,2019-03-25,59,0.0
84,2019-03-26,91,0.0
85,2019-03-27,103,0.0
86,2019-03-28,79,0.0
87,2019-03-29,61,0.0
88,2019-03-30,58,0.0
89,2019-03-31,50,0.0
90,2019-04-01,32,0.0
91,2019-04-02,35,0.0
92,2019-04-03,38,0.0
93,2019-04-04,34,0.0
94,2019-04-05,40,0.0
95,2019-04-06,32,0.0
96,2019-04-07,34,0.0
97,2019-04-08,31,0.0
98,2019-04-09,41,0.0
99,2019-04-10,55,0.0
100,2019-04-11,60,0.0
101,2019-04-12,53,0.0
102,2019-04-13,43,0.0
